B,-78.486237
C,2586.50
D,22.15
F,10
106,2
0,8461
11,290423
10,1415960
A,-0.302109
B,-78.486244
C,2586.50
D,22.22
F,10
107,-5
0,8521
11,290423
10,1415960
A,-0.302109
B,-78.486244
C,2586.50
D,22.22
F,10
114,6
0,8581
11,290423
10,1415970
A,-0.302111
B,-78.486267
C,2586.60
D,22.43
F,10
20,-27,-45,99
24,1362
0,8654
10D,23
0,8711
11,290423
10,1415980
A,-0.302112
B,-78.486275
C,2586.70
D,23.59
F,10
10C,3295
0,8771
11,290423
10,1415990
A,-0.302112
B,-78.486275
C,2586.90
D,23.69
F,10
111,43
105,81
0,8901
11,290423
10,1420000
A,-0.302112
B,-78.486282
C,2586.90
D,24.17
F,10
10F,36
0,8961
11,290423
10,1420010
A,-0.302113
B,-78.486290
C,2586.90
D,24.80
F,10
10B,69
0,9021
11,290423
10,1420010
A,-0.302113
B,-78.486290
C,2587.10
D,24.80
F,10
106,10
0,9081
11,290423
10,1420020
A,-0.302114
B,-78.486298
C,2587.30
D,25.48
F,10
107,-5
114,163
0,9201
11,290423
10,1420030
A,-0.302114
B,-78.486305
C,2587.30
D,25.84
F,10
20,-19,-43,90
24,1361
0,9210
10D,26
0,9278
11,290423
10,1420040
A,-0.302115
B,-78.486313
C,2587.30
D,26.50
F,10
10C,3798
111,46
0,9401
11,290423
10,1420050
A,-0.302115
B,-78.486320
C,2587.40
D,27.30
F,10
105,81
0,9461
11,290423
10,1420060
A,-0.302115
B,-78.486328
C,2587.40
D,27.71
F,10
10F,36
0,9521
11,290423
10,1420060
A,-0.302115
B,-78.486328
C,2587.50
D,27.71
F,10
10B,29
0,9581
11,290423
10,1420070
A,-0.302116
B,-78.486336
C,2587.60
D,28.41
F,10
106,0
107,-5
0,9701
11,290423
10,1420080
A,-0.302117
B,-78.486343
C,2587.70
D,28.50
F,10
114,177
0,9768
11,290423
10,1420090
A,-0.302118
B,-78.486351
C,2587.70
D,28.72
F,10
20,1,-50,86
24,1366
0,9777
10D,28
0,9831
11,290423
10,1420090
A,-0.302118
B,-78.486351
C,2587.90
D,28.72
F,10
10C,3484
0,9891
11,290423
10,1420100
A,-0.302118
B,-78.486359
C,2588.00
D,27.67
F,10
111,18
0,9951
11,290423
10,1420110
A,-0.302119
B,-78.486366
C,2588.00
D,28.11
F,10
105,81
0,10011
11,290423
10,1420110
A,-0.302119
B,-78.486366
C,2588.10
D,28.11
F,10
10F,36
0,10071
11,290423
10,1420120
A,-0.302121
B,-78.486366
C,2588.20
D,28.04
F,10
10B,34
106,0
0,10201
11,290423
10,1420130
A,-0.302122
B,-78.486374
C,2588.40
D,26.82
F,10
107,-5
0,10261
11,290423
10,1420140
A,-0.302123
B,-78.486382
C,2588.40
D,27.21
F,10
114,7
0,10321
11,290423
10,1420140
A,-0.302123
B,-78.486382
C,2588.60
D,27.21
F,10
20,-7,-43,93
24,1363
0,10330
10D,26
0,10391
11,290423
10,1420150
A,-0.302124
B,-78.486389
C,2588.80
D,27.13
F,10
10C,2630
0,10451
11,290423
10,1420160
A,-0.302125
B,-78.486397
C,2588.80
D,27.04
F,10
111,27
0,10511
11,290423
10,1420160
A,-0.302125
B,-78.486397
C,2588.90
D,27.04
F,10
105,82
0,10581
11,290423
10,1420170
A,-0.302126
B,-78.486397
C,2589.00
D,27.04
F,10
10F,36
10B,68
0,10701
11,290423
10,1420180
A,-0.302127
B,-78.486404
C,2589.10
D,27.61
F,10
106,1
0,10761
11,290423
10,1420190
A,-0.302127
B,-78.486420
C,2589.10
D,27.37
F,10
107,-5
0,10821
11,290423
10,1420190
A,-0.302127
B,-78.486420
C,2589.30
D,27.37
F,10
114,10
0,10882
11,290423
10,1420200
A,-0.302129
B,-78.486427
C,2589.40
D,28.37
F,10
20,-8,-44,91
24,1364
0,10891
10D,28
0,10951
11,290423
10,1420210
A,-0.302130
B,-78.486435
C,2589.40
D,28.59
F,10
10C,2257
0,11021
11,290423
10,1420210
A,-0.302130
B,-78.486435
C,2589.50
D,28.59
F,10
111,65
0,11081
11,290423
10,1420220
A,-0.302131
B,-78.486443
C,2589.60
D,28.41
F,10
105,82
10F,36
0,11201
11,290423
10,1420230
A,-0.302133
