20,7,-42,-149
24,1364
0,30290
10D,27
10C,2074
111,15
105,89
10F,56
10B,17
106,0
107,-4
114,255
20,-11,-23,-108
24,1366
0,30840
10D,26
10C,2022
111,15
105,89
10F,56
10B,17
106,0
107,-4
114,255
20,10,-41,-107
24,1364
0,31390
10D,26
10C,2024
111,15
105,89
10F,56
10B,17
106,0
107,-4
114,255
20,11,-42,-105
24,1365
0,31940
10D,25
10C,1961
111,15
105,89
10F,56
10B,19
106,0
107,-4
114,255
20,-3,-35,-100
24,1365
0,32490
10D,24
10C,1445
111,15
105,89
10F,56
10B,22
106,0
107,-4
114,7
20,-5,-57,-115
24,1363
0,33050
10D,22
10C,1228
111,14
105,89
10F,56
10B,22
106,0
107,-4
114,108
20,-13,-44,-98
24,1364
0,33600
10D,20
10C,1063
111,14
105,89
10F,56
10B,23
106,0
107,-4
114,157
20,0,-51,-97
24,1359
0,34149
10D,19
10C,964
111,14
105,89
10F,56
10B,25
106,0
107,-4
114,156
20,-21,-34,-106
24,1359
0,34700
10D,18
10C,906
111,14
105,89
10F,56
10B,25
106,0
107,-4
114,15
20,7,-50,-75
24,1355
0,35249
10D,16
10C,826
111,13
105,89
10F,56
10B,26
106,0
107,-4
114,13
20,-30,-32,-98
24,1354
0,35805
10D,16
10C,792
111,13
105,89
10F,56
10B,26
106,0
107,-4
114,13
20,-17,-39,-101
24,1367
0,36350
10D,15
10C,799
111,13
105,89
10F,56
10B,26
106,0
107,-4
114,13
20,-23,-32,-104
24,1360
0,36901
10D,16
10C,879
111,15
105,89
10F,56
10B,23
106,0
107,-4
114,16
20,-26,-47,-85
24,1366
0,37450
10D,15
10C,1227
111,16
105,89
10F,56
10B,31
106,2
107,-4
114,22
20,-17,-56,-76
24,1373
0,38001
10D,16
10C,1281
111,21
105,89
10F,57
10B,56
106,3
107,-4
114,11
20,-15,-14,-107
24,1366
0,38550
10D,18
10C,1447
111,23
105,88
10F,57
10B,59
106,3
107,-4
114,157
20,5,-15,-145
24,1371
0,39101
10D,19
10C,1557
111,20
105,89
10F,57
10B,55
106,3
107,-4
114,168
20,-4,-27,-106
24,1370
0,39650
10D,21
10C,1651
111,14
105,89
10F,56
10B,22
106,0
107,-4
114,160
20,17,-49,-139
24,1369
0,40201
10D,21
10C,1642
111,14
105,89
10F,56
10B,18
106,0
107,-4
114,12
20,-1,-12,-134
24,1370
0,40750
10D,21
10C,1547
111,14
105,89
10F,56
10B,18
106,0
107,-4
114,9
20,-37,-47,-124
24,1369
0,41301
10D,20
10C,1575
111,14
105,89
10F,56
10B,17
106,0
107,-4
114,15
20,-11,-23,-77
24,1369
0,41850
10D,19
10C,1506
111,14
105,88
10F,56
10B,17
106,1
107,-4
114,101
20,5,9,-144
24,1370
0,42401
10D,19
10C,1508
111,16
105,89
10F,56
10B,25
106,3
107,-4
114,16
20,-6,-17,-103
24,1366
0,42951
10D,20
10C,1503
111,15
105,88
10F,56
10B,22
106,3
107,-4
114,21
20,19,-45,-84
24,1372
0,43501
10D,19
10C,1481
111,14
105,88
10F,56
10B,20
106,3
107,-4
114,151
20,6,-22,-111
24,1368
0,44051
10D,20
10C,1451
111,14
105,88
10F,56
10B,19
106,3
107,-4
114,141
20,5,0,-118
24,1370
0,44607
10D,18
10C,1446
111,14
105,88
10F,56
10B,20
106,1
107,-4
114,77
20,21,-26,-142
24,1367
0,45151
10D,18
10C,1438
111,18
105,88
10F,56
10B,36
106,1
107,-4
114,13
20,1,-22,-122
24,1365
0,45701
10D,19
10C,1472
111,19
105,88
10F,56
10B,45
106,0
107,-4
114,163
20,3,-28,-55
24,1364
0,46251
10D,19
10C,1495
111,16
105,88
10F,56
10B,27
106,0
107,-4
114,148
20,6,-35,-104
24,1368
0,46801
10D,20
10C,1515
111,17
105,88
10F,56
10B,28
106,-1
107,-4
114,11
20,16,-39,-93
24,1366
0,47351
10D,19
10C,1502
111,17
105,88
10F,56
10B,34
106,-2
107,-4
114,147
20,-23,-21,-121
24,1366
0,47911
10D,20
10C,1577
111,21
105,88
10F,56
10B,44
106,-3
107,-4
114,163
20,-16,-25,-129
24,1366
0,48461
10D,21
10C,1621
111,15
105,88
10F,56
10B,25
106,-5
107,-4
114,143
20,-4,-44,-149
24,1366
0,49011
10D,20
10C,1591
111,14
105,88
10F,56
10B,19
106,-6
107,-4
114,18
20,-9,7,-147
24,1366
0,49561
10D,20
10C,1530
111,14
105,88
10F,56
10B,18
106,-6
107,-4
114,17
20,10,-39,-141
24,1368
0,50111
10D,20
10C,1508
111,14
105,88
10F,56
10B,18
106,-6
107,-4
114,16
20,0,-40,-93
24,1365
0,50671
10D,18
10C,1487
111,14
105,87
10F,56
10B,18
106,-3
107,-4
114,19
20,-11,-54,-64
24,1370
0,51221
10D,18
10C,1398
111,22
105,87
10F,56
10B,51
106,-1
107,-4
114,12
20,0,-23,-76
24,1367
0,51771
10D,18
10C,1490
111,23
105,87
10F,57
10B,59
106,1
107,-4
114,148
20,-12,-22,-85
24,1363
0,52321
10D,20
10C,1573
111,26
105,87
10F,57
10B,64
106,0
107,-4
114,144
